Period;Seller;SKU;Revenue;Sales;Balance;Turnover days;Base price;Basic Sale;Basic Sale Price;Price with WB wallet;Comments;Days in website;Search cpm avg
year;ИП Литвиненко А Д;3354177073;19701;53;55;1170;28732;555;15236;14926;34;907;0
year;ИП Лузан Г П;2259676999;1604;5;0;0;11200;206;8030;7867;5;422;0
year;ИП Лыков А В;833135070;94420;97;79;100;6100;164;2763;2706;336;266;0
year;ИП Ляниченко;211068988;0;0;0;0;2200;28;1584;1552;0;346;0
year;ИП Магомедов М Д;257911049;0;0;0;0;5000;79;1036;1015;0;149;0
year;ИП Магомедов С А;2111027113;10424;8;1;8;14300;180;10927;10705;4;1109;0
year;ИП Магомедова С И;2147949623;3980;2;0;0;40000;517;14640;14344;2;2254;0
year;ИП Магомедова Т М;871272911;1107;1;0;0;8100;135;5421;0;1;1270;0
year;ИП Мадышанов;2385502156;2075;2;0;0;13900;363;8277;8108;207;784;0
year;ИП Макаров А Н;3928239656;0;0;0;0;35627;321;28623;0;1;3040;0
year;ИП Макаров Николай Николаевич;2157499554;0;0;0;0;19528;204;15180;3677;0;1949;0
year;ИП Максатбеккызы;461684975;0;0;0;0;4500;48;3386;3317;16;518;0
year;ИП Малачилов Ш А;531748709;0;0;0;0;6250;165;2589;2536;0;1506;0
year;ИП Малютина С А;9055913333;0;0;0;0;84050;953;58989;57793;3;3049;0
year;ИП Маметова;1511488985;5080;2;0;0;13530;39;12416;12165;9;229;0
year;ИП Манукян Д И;210493563;0;0;0;0;3300;28;2356;2308;0;349;0
year;ИП Манхэттан;338288013;0;0;0;0;6500;52;4769;4672;0;1126;0
year;ИП Маратович;264153718;19930;16;0;0;7000;82;1243;1218;2;112;0
year;ИП Мари;3544670231;3657574;1900;488;26;33420;482;22626;22167;330;3585;0
year;ИП Матевосян В С;1044881224;0;0;0;0;18833;214;8719;8543;0;541;0
year;ИП Махнинов Б В;519221813;0;0;0;0;2150;45;1652;923;0;354;0
year;ИП Машанло;317824565;0;0;0;0;3500;52;1646;1613;0;4;0
year;ИП Мери;2288028695;10574;7;4;109;19290;308;13281;13010;3;2688;0
year;ИП Милана;1654950418;0;0;1;-1;69885;424;19534;19140;1;532;0
year;ИП Мирзамагомедова У Г;676164658;1394;1;0;0;8220;213;2318;2270;5;854;0
year;ИП Мирзоев К Г;228115472;0;0;0;0;1990;28;1432;1403;0;273;0
year;ИП Мирзоева Т Б;599461735;1415;1;0;0;2800;64;1841;1803;0;99;0
year;ИП Мирохин Евгений Антонович;5788333198;6178;18;1;0;75094;1112;42482;41430;48;7272;0
year;ИП Молдашев А Е;941288715;0;0;0;0;6580;181;3566;3457;0;960;0
year;ИП Морозова Е А;731607163;34920;28;23;1022;8000;148;3951;3871;188;570;0
year;ИП Муртазалиев И С;22607184817;413476;319;6;16;243982;2186;181666;176072;1098;19184;600
year;ИП Мус;454680557;2218;2;0;0;3073;74;1926;1887;4;554;0
year;ИП Мырзабекова;235966060;0;0;0;0;2100;22;1619;0;0;237;0
year;ИП Мялкина Т В;196691576;0;0;0;0;2000;28;1440;1411;0;410;0
year;ИП Назар;1727566521;70339;40;2;19;44250;546;16761;16422;74;3863;0
year;ИП Назжан;1125559356;0;0;0;0;9200;45;8372;0;0;1421;0
year;ИП Накипова З М;337992680;0;0;0;0;3700;91;2019;1978;1;1113;0
year;ИП Насрулаева П М;317447862;0;0;0;0;10000;81;1848;1811;0;6;0
year;ИП Насрулаева У Р;308122884;0;0;0;0;2000;31;1368;1340;0;29;0
year;ИП Нур Дин;227511667;0;0;0;0;1500;61;572;560;2;276;0
year;ИП Нуржан;316357387;0;0;0;0;4600;58;1932;1893;0;9;351
year;ИП Нуридинова З Н;5827670872;8665;5;0;0;107700;1463;38491;37709;5;3783;0
year;ИП Объедкова;5505461735;673584;1451;476;335;81080;852;63058;6355;180;30208;928
year;ИП Олизко Е Б;3467355795;2388766;3379;368;1204;35794;669;19479;19082;1725;4435;0
year;ИП Омарова;1334422810;12587;9;2;10;19000;287;7671;7515;370;624;0
year;ИП Оригинальная Корейская Косметика;222017688;0;0;0;0;980;28;705;690;0;299;0
year;ИП Орманбекова;634705656;0;0;0;0;8300;110;3672;3597;0;11;0
year;ИП Орусхановна;1111096144;13208;16;0;0;7000;118;5118;5085;12;381;450
year;ИП Оспанов Кайрат;5879758995;0;0;0;0;52081;379;41633;40794;0;502;0
year;ИП Павловский В Ю;1696245521;275245;199;5;48;28770;440;14451;14157;606;4076;0
year;ИП Пантелюк И С;6894254723;0;0;0;0;135649;993;80826;79197;0;1972;0
year;ИП Петровский;544848971;0;0;0;0;3900;65;2194;2149;0;190;0
year;ИП Попов О А;238462558;311842;256;0;0;3000;64;1080;1058;440;218;0
year;ИП Порхало Ю В;6364764355;12220;7;5;-4;89627;1153;41448;40608;11;1404;0
year;ИП Пшигоцкая Д А;360432594;0;0;0;0;4740;77;2887;2828;2;923;0
year;ИП Рабаданов М З;14607232282;8279;5;1;-1;133160;1606;95485;80519;30;10680;0
year;ИП Рабаданов О М;534608259;0;0;0;0;5150;66;4017;0;0;1457;0
year;ИП Рамазанова Н К;190324852;0;0;0;0;2200;32;1494;0;0;436;0
year;ИП Рамазанова Ш А;1825551450;0;0;0;0;17700;202;13694;13416;3;3359;0
year;ИП Рауан;235353210;0;0;0;0;1950;6;1833;0;0;239;0
year;ИП Рашидов М К;10570069562;127523;93;2;47;169850;2375;73691;67415;802;12903;0
year;ИП Роман;6641950181;1131572;837;5;14;54947;852;35956;35225;6690;3254;629
year;ИП Романова;898111405;0;0;0;0;8849;196;4565;0;0;1152;0
year;ИП Рудов А Н;1365165843;0;0;0;0;11390;230;6150;6026;3;428;0
year;ИП Рума;5727327255;43925;34;1;3;58480;898;34161;33466;311;3606;0
year;ИП Рыбалко А Б;3400347579;362493;600;49;161;31395;645;16753;16412;216;2614;0
year;ИП Рычагов;547518521;54466;53;3;6;6480;133;2181;2136;6;92;0
year;ИП Садуакас;4106598483;6585;4;0;0;28471;159;24588;24091;4612;943;0
year;ИП Салихов А С;37633191543;298578;226;0;0;305429;5394;197944;132980;1045;35990;0
year;ИП Салихова К А;19244738147;7460;6;0;0;163142;2730;110723;51962;12;25583;0
year;ИП Сани;492477692;0;0;0;0;5080;104;2412;2363;0;379;0
year;ИП Седова Т Н;4854923981;1765902;1125;1164;2365;44420;651;28185;27612;440;1981;1046
year;ИП Селимханов Т Т;1709771621;1355;1;0;0;14400;225;9644;9448;1;1390;0
year;ИП Сембекова;673045723;717;1;0;0;6640;78;5315;524;0;864;0
year;ИП Сервис Плюс;4720347194;696976;554;354;32;47610;698;27534;26975;903;1672;0
year;ИП Серманизова;2468539792;1911;1;0;0;34000;78;30438;29823;4;3579;0
year;ИП Сим С А;1579130766;0;0;15;-5;16800;301;6606;6470;0;0;0
year;ИП Сквородин А А;5570378609;0;0;0;0;236707;1440;45724;44804;0;337;0
year;ИП Смагулова;318626181;0;0;0;0;5000;52;2352;2304;0;4;0
year;ИП Сорокин Александр Игоревич;5608321393;9426939;6660;1582;872;68194;1107;34998;34286;3967;5397;8471
year;ИП Студилко А А;4172355996;3324;11;0;0;14557;301;11034;10806;182;697;0
year;ИП Сулейманов Р Р;311216918;0;0;0;0;2000;20;1596;1564;0;19;0
year;ИП Сулейманова Аминат Абакаровна;1860274805;0;0;0;0;10750;132;8298;8130;0;127;0
year;ИП Сулейманова Ф Р;319340884;0;0;0;0;2500;16;2100;2058;0;2;0
year;ИП Сухарина А С;2410412548;3521569;2837;1725;495;32500;522;13317;13046;7143;786;7924
year;ИП Сымбат;2294386428;0;0;0;0;21000;296;14022;13771;0;1420;0
year;ИП Талдонов А Г;5894029462;0;0;0;0;70406;1166;45718;44789;14;17513;0
year;ИП Талдонов В А;5895239572;1163;1;0;0;71053;1166;46140;45203;2;17458;0
year;ИП Талдонова В В;5792248834;0;0;0;0;68783;1131;44666;43755;2;16252;0
year;ИП Талдонова О А;5816543486;0;0;0;0;68145;1131;44255;43354;11;16181;0
year;ИП Талипов И М;641710541;0;0;0;0;6035;120;3587;2271;3;1001;0
year;ИП Таштаева Ф Р;426942066;0;0;0;0;4380;97;2183;2139;1;665;0
year;ИП Темирбеков Д Т;581346603;0;0;0;0;7895;164;1364;1336;2;128;0
year;ИП Темирболат;486023646;0;0;0;0;4949;135;1584;1551;0;405;0
year;ИП Ткачук В Р;2066064919;0;0;0;0;26420;475;12238;11990;0;2025;0
year;ИП Трофимов А М;520394965;0;0;0;0;3080;56;2217;2172;0;257;0
year;ИП Трофимов А С;176884953;1033;1;0;0;2800;71;786;770;3;485;0
year;ИП Турманов;315162246;0;0;0;0;49000;95;2304;2257;0;12;0
year;ИП Тюфтина Т А;459627476;0;0;0;0;7958;90;4344;4256;0;507;0
year;ИП Тягулова;350903514;0;0;0;0;5660;91;3044;2982;2;1027;0
year;ИП Ульянкызы;1854497311;95693;92;0;0;25000;314;12978;12715;359;1516;0
year;ИП Умиралиева;1745875131;1524;1;0;0;14700;174;10485;10272;13;376;585
year;ИП Усембеков Канат Мелдебекович;6021647199;0;0;0;0;51381;304;43157;42285;3320;126;1377
year;ИП Усукеева;4452096314;3373135;1652;157;46;35800;205;30771;30148;401;1487;0
year;ИП Уткин П А;274441296;0;0;0;0;3990;46;2145;2102;0;90;0
year;ИП Файзы А Х;240097370;0;0;0;0;2500;24;1890;1852;0;216;0
year;ИП Хабибулаев С Г;2621436078;0;0;0;0;22500;510;12870;12477;0;3768;0
year;ИП Хаджиев И С;264617277;0;0;0;0;1990;41;1174;1150;0;85;0
year;ИП Хаким;317759034;0;0;0;0;1790;29;1263;1237;0;0;0
year;ИП Халикова Р К;3298337341;20191;13;1;91;37187;550;19780;19378;36;2112;0
year;ИП Хилоу Л А;268952774;0;0;0;0;2100;28;1512;1481;0;107;0
year;ИП Хожамжар;315165607;0;0;0;0;45200;94;2551;2499;0;12;0
year;ИП Цепляева Н Н;313590179;0;0;3;-1;2090;28;1504;1473;0;7;0
year;ИП Цой О;283001644;2645;2;0;0;3000;52;1411;1382;6;76;0
year;ИП Цыба Алексей Игоревич;936611811;2963638;2148;442;308;11632;205;5367;5258;3990;1031;0
year;ИП Черемных А В;484002104;0;0;0;0;5000;96;2578;2526;21;413;0
year;ИП Черникова Р В;3149614616;588;2;0;0;16600;369;10595;10378;2;723;0
year;ИП Чернявская Т А;110685644;0;0;0;0;1600;56;691;677;0;914;0
year;ИП Чобанян О С;5013214978;0;0;1;-1;82540;1138;33196;32522;4;2573;0
year;ИП Чупанов М М;5755262660;209278;157;2;2;50000;998;30966;30333;950;8053;0
year;ИП Чупанова Н Т;10664479013;0;0;0;0;80980;1355;53372;52284;4;3917;0
year;ИП Шабанов И Ш;534605179;0;0;0;0;5150;75;3851;0;0;1418;0
year;ИП Шаймерден;256686025;0;0;0;0;1550;30;1074;0;0;153;0
year;ИП Шайх Заде С А;5574332271;19477;8;1;2;47499;319;39308;38513;37;525;0
year;ИП Шанкозова;482364561;188864;157;85;131;7406;131;2532;2480;22;406;0
year;ИП Шапиева Н Н;3922514622;1836;1;0;0;104640;745;42938;41083;4;4764;0
year;ИП Шарихов;1195494234;0;0;0;0;6700;92;5155;5051;0;206;0
year;ИП Шаталова Е Г;71895659;0;0;0;0;7000;53;3276;3210;0;1035;0
year;ИП Шахрузат;228115348;0;0;0;0;1990;28;1432;1403;0;273;0
year;ИП Шелобанова Д Д;502585190;0;0;0;0;3410;92;1829;1792;0;345;0
year;ИП Широких И В;338170881;0;0;0;0;4073;74;2535;0;2;1129;0
year;ИП Широкородов В И;3670110178;1066510;915;495;1054;44096;1081;16121;15790;984;5188;800
year;ИП Шихмагомедов Ш А;1332892987;0;0;0;0;14150;196;10188;9982;0;3047;0
year;ИП Шкуров И А;3257836825;244859;183;121;812;47600;798;15896;15573;50;1158;500
year;ИП Штенникова Д Ю;607041981;0;0;0;0;5390;111;3333;0;1;1154;0
year;ИП Шувалова А В;326120102;0;0;0;0;5354;81;3117;3054;0;942;0
year;ИП Эсманов Илья Петрович;2556270624;4795063;3713;708;685;64578;1057;18852;17993;1153;8330;877
year;ИП Эшалиева Луиза Ивановна;6085855302;0;0;0;0;49981;314;41721;40876;0;29;1377
year;ИП Яковлева А Д;1922361922;0;0;0;0;66520;500;10882;10662;0;0;0
year;ИП Яневская М Ю;288099788;0;0;0;0;2636;16;2214;2169;0;69;0
year;ИП Яневский Ю М;290689089;0;0;0;0;2297;16;1929;1890;0;65;0
year;ИП Янишевский;176326453;699;1;0;0;1500;54;680;666;10;506;0
year;Ильясов М. И.;1586557886;0;0;0;0;14683;224;10569;10355;0;3192;0
year;Ип Жаке;244524087;0;0;0;0;3500;79;730;708;0;197;0
year;Ип Жумахан;667061713;0;0;0;0;5791;139;3074;3011;0;895;0
year;Ип Ибраева;232355800;0;0;0;0;2000;64;714;714;0;253;0
year;Ислам Запирович Раджабов;877218579;1869;1;0;0;7899;104;5771;5653;1;1244;0
year;К.а.а;6752237909;256685;144;1;2;65500;471;54448;50079;2793;6336;0
year;Косметика;178201730;0;0;0;0;1850;33;1225;1200;1;483;0
year;Кочкарова Саида Гасановна;919386748;0;0;0;0;9800;140;6300;6110;0;1060;0
year;Красота Залог Успеха;1688913143;1421;1;0;0;28600;513;7512;7359;3;1582;0
year;Куулар А.в.;731498781;0;0;0;0;6820;205;2130;2086;1;603;0
year;Кучумов Казиахмед Аличубанович;1739207131;8177;6;2;-1;12300;184;9004;8821;22;1321;0
year;Лили;4481078089;82615;48;120;0;42597;494;30010;29399;67;2403;222
year;Лукасевич Е. В.;1776699992;0;0;0;0;24893;286;12895;12634;0;336;0
year;Лучший Магазин;298109995;4536;1;0;0;3200;5;3010;2949;3;53;0
year;М.м.м.;1282673281;0;0;0;0;12900;64;10836;10618;0;0;0
year;МБ;599581956;0;0;0;0;6550;84;4715;4619;0;1156;0
year;МПГ;195404628;0;0;0;0;1680;28;1209;1184;0;417;0
year;Магомедов А.А;919796433;0;0;0;0;16700;159;6622;6487;4;1060;0
year;Магомедов К.р.;530399433;0;0;0;0;6900;105;3243;3177;0;252;0
year;Магомедов Магомед Гаджимурадович;28644411222;13578;8;4;-4;359960;3129;265377;258604;74;27693;0
year;Магомедова Саида Магомедовна;3817551930;39840;26;0;0;41700;940;19590;14551;53;6175;0
year;Меджидов;13057652211;1271209;783;21;28;167400;1632;121050;118602;5077;19502;388
year;Мукаилов Вагиф Бейбалаевич;3946276131;0;0;0;0;130000;1057;23772;23292;6;499;0
year;Мурад;193350431;0;0;0;0;2799;17;2323;0;0;422;0
year;Муртузалиева Зубейдат Султановна;272587142;0;0;0;0;7000;73;1822;1785;2;99;0
year;Мутаев Арсланбек Магомедрасулович;231849684;2436;2;0;0;2200;45;1203;1178;2;255;0
year;НМ;1179410381;1040;1;0;0;9365;207;5410;5299;88;978;0
year;НУР;2043666339;0;0;0;0;15000;295;9477;9283;27;1266;0
year;Нагметова Айна Абдужелиловна;465247087;788;1;0;0;3400;88;1944;1904;0;479;0
year;Нуридинова Х.н.;3349813983;6649;3;0;0;60300;811;22242;21738;4;1964;0
year;ООО Абра;4399041621;0;0;0;0;48322;304;40582;0;0;4383;0
year;ООО Амрус;10220159492;7868677;3924;869;521;192025;2317;90601;88767;3366;9810;0
year;ООО Бьюти Стар;7936717128;8581;6;0;0;87615;1266;54145;53047;12;7317;0
year;ООО Вероника;422075970;0;0;0;0;7973;32;6696;0;0;681;0
year;ООО ДТС;5513975642;327196;268;3;8;71420;1282;46132;45188;7626;25849;0
year;ООО Джапандоставка;2755825319;3417;2;1;-1;41919;391;26763;26222;0;2053;0
year;ООО Добрый Вечер;6696474183;0;0;0;0;104493;1216;51691;50644;0;1907;0
year;ООО Зеффиро;1222624689;547129;401;0;0;103895;774;72278;70818;515;30701;0
year;ООО ИК ДЖИ ЭЙ Групп;3006025357;9748;7;27;58;33274;385;21554;21117;1;356;0
year;ООО КО Экспо;8918111327;8389509;5052;1047;374;200024;2257;78654;77061;2223;9234;1190
year;ООО Корекс;966725393;310480;278;1;-1;19000;239;7554;7401;53;793;0
year;ООО Космос;4800970031;0;0;0;0;30110;287;25028;24519;0;1250;0
year;ООО Космос Груп;5656044163;11431163;9460;249;732;94040;1930;44591;43680;3252;24759;440
year;ООО Крем ШОП;6130630430;52578;36;0;0;68951;1151;31892;29039;94;2807;0
year;ООО Куоре;813757047;48162;62;66;838;4432;112;3190;3125;31;1430;0
year;ООО Лайм;1781584348;296397;246;296;3127;25198;425;7279;7130;683;270;0
year;ООО Сдэк Южный Урал;2649520341;12986223;8662;3755;5923;77108;862;15686;15368;4963;2641;750
year;ООО Селлер Номер Один;243257218;0;0;0;0;1000;28;720;705;0;197;0
year;ООО Табер Трейд;1397715674;1332113;761;206;694;38190;508;20245;19835;352;6238;138
year;ООО Юлло;2221320509;0;0;0;0;12433;112;10440;10228;0;18;0
year;ООО Юмаркет;4994027683;1367;1;4;114;38845;379;30082;29470;0;944;0
year;Омаров Айгун Шамилович;2518965268;0;0;0;0;12000;152;9768;9566;0;84;0
year;Омарова Патимат;514954623;0;0;0;0;6598;104;3122;3059;1;306;0
year;Оригинал;388178744;0;0;0;0;3888;56;2799;2742;0;841;0
year;Османов Магомед Абдулазизович;2674076720;1269;1;0;0;24700;516;11839;11596;10;1141;0
year;Осоо Корея Глобал;5163753534;3691663;2880;2168;1378;62540;1211;22695;22232;761;1904;0
year;Райская Сказка;1900504032;0;0;0;0;17033;188;11989;11747;0;51;0
year;Рамазанов Рамазан Меджидович;5456107445;41633;39;1;23;68150;1029;41787;40939;99;10428;0
year;Рамазанова Эльзира Магомедовна;1955252506;12586;12;0;0;20550;351;13321;13051;40;4130;0
year;Рамзик;6235689018;0;0;0;0;48700;708;34319;33276;2;3400;0
year;Расул;17966632638;3555;1;0;0;310799;2340;229991;225347;1;35779;0
year;Расулова Мадина Расуловна;1997878301;0;0;1;-1;23800;163;19923;17591;5;3949;0
year;Риска;59408549126;8386119;4398;943;765;971127;5359;784476;768782;11974;90406;1243
year;СГЮ;3129104583;76619;61;0;0;31650;647;18968;18580;141;6643;0
year;Сабина;530408120;0;0;1;-1;3900;88;2158;2114;0;202;0
year;Салимов Керим Адильханович;1942780326;0;0;0;0;16200;384;9246;9056;4;2915;0
year;Северное Сияние;6413619594;196538;168;1;4;60100;1102;39118;38319;734;10863;0
year;Серманизов П;1974773398;0;0;0;0;24228;68;21951;21507;0;3093;0
year;Сеферова Мамлакат Межлумовна;232582293;0;0;0;0;1800;32;1209;0;1;252;0
year;Сила Природы;953601280;0;0;0;0;5810;15;5464;5354;0;14;0
year;Сулейманов Заур Алигусейнович;7523627886;5253;6;0;0;62041;703;47192;46232;15;5912;0
year;ТОО I Like Skincare;2136444241;100291;72;154;286;28449;384;12326;12076;413;257;0
year;ТОО Koreacom;1656069554;173263;138;0;0;17600;386;7634;7478;684;1644;0
year;ТОО Skin BE FLY;970209867;0;0;0;0;6730;119;4683;4586;0;790;0
year;ТОО Компания ЛВВ;2396385702;5370205;2602;86;380;29860;429;15595;15278;592;1177;300
year;Тагиров Тагир Закидинович;1201999132;0;0;1;-1;8100;98;6150;6026;0;164;0
year;Тамерлан;6731128532;7167;5;0;0;58090;842;38275;37497;20;2875;0
year;Татьяна М.м.;2015611583;4476;3;0;0;13000;139;10319;10110;98;478;0
year;Тринити;297834160;0;0;1;-1;1100;21;859;841;0;53;0
year;УСБ;636764754;98798;61;0;0;8250;102;5242;5136;199;1023;0
year;Устарханов Муслимбек Батырович;640747941;36340;42;0;0;4900;119;2932;2873;123;1002;0
year;Чудо -Дом;981792218;0;0;0;0;7960;182;4298;4210;2;776;0
year;Шахрудинов Шахрутдин Лабазанович;1266241894;0;0;0;0;12150;198;7265;3221;0;994;0
year;Шехмирзаева Аминат Ахмедовна;531408432;3429;3;0;0;5790;76;4330;4241;3;1506;0
year;Шуанна;505404394;0;0;0;0;5598;97;2861;2803;0;337;0
year;Эльдар;8621526402;1389;1;0;0;89350;1703;48740;16363;9;10468;0
year;Юсуфов Ю.ш.;211733686;0;0;0;0;2300;37;1446;0;3;343;0
year;Юсуфова М.ш.;435817328;0;0;0;0;3400;112;1468;1438;3;634;0
year;Ярославцев М. С.;202826620;0;0;0;0;9970;150;4898;0;15;3158;0
year;дом;202904854;0;0;0;0;1100;30;770;0;1;376;0
дек;11St Street;185367706;0;0;0;0;1000;70;297;291;0;425;0
дек;ABC R.l.g.;263238865;0;0;0;0;3100;51;1506;1475;0;100;0
дек;Adele;438569912;0;0;0;0;6459;148;1658;1624;6;564;0
дек;Ailuna;766345090;0;0;0;0;61036;218;27262;26715;2;1609;0
дек;Aiza;1812882391;0;0;1;-1;14400;387;6361;6230;0;718;0
дек;Aleum;272172178;257754;178;44;8;3500;60;1398;1370;41;70;0
дек;Alexandra;1171826920;1046;1;1;7;10550;248;5302;5193;7;1021;0
дек;Am.store;2223173017;0;0;0;0;147853;441;66340;65739;0;383;0
дек;Amedistore;285943850;0;0;0;0;2150;26;1579;1547;0;43;0
дек;Anis;301384558;0;0;98;-1;1500;51;721;706;0;10;410
дек;Arabiyan med;1078386503;0;0;0;0;20000;242;7807;7649;0;313;0
дек;Asian Beauty Cosmetic;3729931187;0;0;0;0;67100;833;35328;34612;56;7181;0
дек;B.m.r.oneclick;8082869154;1231;1;2;-2;56040;1125;35468;34739;58;3428;0
дек;Baizak;492326292;0;0;0;0;5598;128;2004;1963;6;321;0
дек;Balausa Cosmetics;293954405;0;0;0;0;5000;71;1406;1377;3;32;0
дек;Beauty Life;886869296;0;0;0;0;7900;119;5536;5423;0;1081;0
дек;Beautyko;1110496355;183265;141;17;6;20060;329;6675;6539;37;1465;0
дек;Beautymania;4170967661;0;0;0;0;32033;576;20829;20405;7;2891;0
дек;Beisen;2810083915;36406;27;3;27;25400;445;15722;15401;888;2605;0
дек;Brave Beauty;732046742;975;1;0;0;4770;98;3168;3103;131;499;0
дек;Butikcosmetics;3248221911;0;0;0;0;26050;416;18215;17844;0;3066;0
дек;Clever Store;244360451;0;0;0;0;1620;27;1180;1156;145;169;0
дек;Cosmo;1023030935;0;0;1;-1;9106;145;5754;5636;0;512;0
дек;Dishop;774807300;0;0;0;0;13850;223;5970;5849;0;1569;0
дек;Eldis;1476200560;0;0;0;0;11610;229;7130;6984;3;969;0
дек;Firmach;32448792742;78007;54;16;52;508670;4587;361954;354633;7925;60499;0
дек;Flatrent;1486151078;339840;259;220;117;18800;320;6965;6823;738;932;276
дек;Flickersm;222417741;0;0;0;0;2000;32;1344;1317;0;260;0
дек;G.g.g.;1697014896;0;0;0;0;13400;231;8942;8760;12;1248;0
дек;G.t.a;226985063;0;0;0;0;1800;30;1253;1227;1;249;0
дек;Girlish Charms;2166729147;0;0;0;0;16100;319;10302;10090;0;1785;0
дек;Gitinov Kh. I.;1779425111;7987;5;1;-1;13850;204;9863;9663;93;957;0
дек;Grossvi;1507211908;0;0;0;0;18390;227;9919;9718;0;70;0
дек;Home Market;4502503244;0;0;0;0;33750;488;22320;21867;0;304;0
дек;Hottie Cosmetics;6102144842;488325;408;209;158;34348;709;22777;22311;473;2250;0
дек;Katrinshop;1700706098;0;0;0;0;17050;320;10091;9884;2;2485;0
дек;Keauty;2346615485;0;0;0;0;19589;72;17768;17409;0;325;0
дек;Kiwano;3985587021;0;0;0;0;42170;1012;19333;18938;28;6483;0
дек;Kontazio;280617530;0;0;0;0;3000;26;2220;2175;0;52;0
дек;Korbutik;3244249877;1032;1;1;-1;26050;374;19006;18619;4;3154;0
дек;Korea;3449137838;0;0;1;-1;27930;367;19884;19481;1;1237;0
дек;Korea Love;3218496192;1202;1;0;0;24650;328;17959;17596;3;996;0
дек;Korea Mood;610016716;4583;2;207;6417;15545;156;9951;9751;1420;2474;0
дек;Korealine;431137803;0;0;0;0;7500;59;5254;5148;0;595;0
дек;Koreandream;632072632;0;0;0;0;5000;85;3509;3437;1;872;0
дек;Kukku;2067243813;4800;3;1;-1;15450;238;10134;9928;6;197;0
дек;Kuzanov Store;768604461;1790;2;0;0;3840;95;2606;2552;22;378;0
дек;Lakshme;1010097668;0;0;0;0;11900;162;7954;7792;3;1746;0
дек;Laurus 777;233944219;0;0;0;0;2000;46;1080;1058;0;203;0
дек;Life Style;6794881423;2407;2;0;0;60550;1041;35902;35170;38;3298;0
дек;Lifecosm;9735225567;42475089;27845;28611;1472;213949;2771;70834;69398;58159;11017;16344
дек;Live;7458872674;3118;3;0;0;58749;1083;36215;35478;14;3894;0
дек;Live 26;2173353147;1110;1;0;0;14665;332;9145;9033;12;1724;0
дек;Lumeno;2006111892;0;0;0;0;14550;193;10426;10216;1;287;0
дек;M.i.m Showroom;13342122320;62485;49;4;1;139000;1862;87474;85699;142;5408;138
дек;MD Shop;4590427317;3923399;3244;2175;190;40810;890;21575;21134;6525;3252;2709
дек;Magishop;7307174564;1224;1;0;0;62100;539;50125;49108;1;3066;0
дек;Meyou Shop;4373359719;0;0;0;0;56200;950;22570;22111;36;488;0
дек;Miss Beauty;1011941805;0;0;1;-1;8650;140;5580;5466;584;573;0
дек;MЮ Сервис;1744003426;0;0;0;0;24600;574;6819;6679;13;2280;0
дек;Naturbeauty;410447780;0;0;1;-1;15500;167;2386;2338;0;677;0
дек;Original 100;947971164;0;0;0;0;6940;132;4621;4526;0;797;0
дек;Richi212;671356944;0;0;0;0;7200;99;4795;4698;0;783;0
дек;Sammi Shop;5144715792;0;0;0;0;52400;456;42444;41582;33;7200;0
дек;Sarto;2436078871;0;0;0;0;24400;389;15501;15185;0;3043;0
дек;Seol;1328697100;11839;9;0;0;15300;299;5946;5826;118;458;0
дек;Shogha Skin;272552086;0;0;0;0;7000;65;2434;2385;4;70;0
дек;Sima;385871735;0;0;0;0;3900;63;2661;2606;0;790;0
дек;Sofashop;544609265;0;0;0;0;6000;107;2761;2705;0;138;0
дек;Sst-Group;2070789416;0;0;1;-1;16616;447;6897;6755;5;957;0
дек;Tenderness;822563825;408255;310;111;25;11000;187;4156;4071;674;189;719
дек;The Same Package;520390224;0;0;0;0;3080;58;2169;2125;0;199;0
дек;Tokyo;286834762;0;0;0;0;2000;31;1361;1333;0;42;0
дек;Topface;4392936473;1210;1;1;-1;47800;526;36419;35680;95;8164;0
дек;Umma Store;267356289;0;0;0;0;3800;56;1659;1625;0;85;0
дек;Ummfirdaus.almaty;485783929;0;0;0;0;3600;76;2210;2164;0;348;0
дек;Verovika;6236376938;15889;14;0;0;56097;1281;22589;22128;1758;1095;0
дек;Wildmarket;467752558;0;0;0;0;3020;70;1956;1916;4;436;0
дек;Yamakasi;3033509926;0;0;0;0;34900;875;14415;14120;2;5214;0
дек;Yerbol;1877724013;0;0;0;0;20700;434;11077;10873;841;4161;0
дек;Yolo;3895322185;1120362;853;856;470;56450;1071;20885;20459;1386;3777;0
дек;ZZ Group;217267729;0;0;0;0;2800;14;2387;2339;0;291;0
дек;Zdanie;2045415468;4407;5;3;0;20850;424;12465;12210;698;4737;0
дек;Zima;4907852352;3081;3;3;9;41360;987;22419;21961;25;5835;0
дек;Абакаров Басир Мустафаевич;1083575247;0;0;0;0;9233;206;4420;4330;0;306;0
дек;Абдукеримова Амина Якубовна;1111071553;0;0;0;0;9000;159;6048;5923;2;1315;0
дек;Абдулаева Ш. М.;3203098691;0;0;0;0;28975;228;23386;22973;0;1086;0
дек;Адамова Мария Курбановна;475040201;0;0;1;-1;78000;182;5831;5713;1;408;0
дек;Адилов Шамиль Эйвазович;4746140866;0;0;1;-1;233435;841;95866;95521;0;931;0
дек;Адухов Хабибула Магомедович;6155897847;0;0;0;0;39200;533;29622;29020;2;1176;0
дек;Азадова Анджела Хисеновна;495735719;0;0;0;0;5085;96;2619;2566;0;308;0
